,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
311,0.03499455451965332,0.003084225650617405,0.0073740482330322266,0.0008598468793321312,1.0,2,0.01,1,sigmoid,"{'C': 1, 'degree': 2, 'epsilon': 0.01, 'gamma': 1, 'kernel': 'sigmoid'}",-2.9206530974293563,-2.115991610983436,-2.5401304471842274,-2.283351436487235,-2.952673386361113,-2.5625599956890737,0.334156536219752,1081
312,0.017441272735595703,0.0002123234377216146,0.0032009601593017576,3.2452053055198764e-05,1.0,2,0.1,scale,linear,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",-1.4041298091001762,-1.293182482735078,-1.3223623864272567,-1.4229473862097592,-1.3596658037805893,-1.3604575736505717,0.04855934280783146,322
313,0.02073044776916504,0.0005272541443263929,0.003498744964599609,2.8303970845733948e-05,1.0,2,0.1,scale,poly,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",-1.325275024396083,-1.275083267803931,-1.2372273376301937,-1.399566556579448,-1.3328494010450767,-1.3140003174909465,0.055159070752540965,113
314,0.02415156364440918,0.004283355105325532,0.0060328483581542965,8.839184819580957e-05,1.0,2,0.1,scale,rbf,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",-1.3239685910673782,-1.2664771485786934,-1.2364719932506443,-1.3887258299787875,-1.3383808427373642,-1.3108048811225734,0.0538436946745051,91
315,0.03775897026062012,0.0016090818757769903,0.0076464653015136715,5.834675021478724e-05,1.0,2,0.1,scale,sigmoid,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",-2.9828981734271354,-2.6413306745814715,-2.5871693178460133,-2.856274576825884,-3.061545955445864,-2.8258437396252734,0.18555765484388517,1099
316,0.017753124237060547,0.0004929955478655896,0.0032909393310546877,5.5342165123302665e-05,1.0,2,0.1,auto,linear,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",-1.4041298091001762,-1.293182482735078,-1.3223623864272567,-1.4229473862097592,-1.3596658037805893,-1.3604575736505717,0.04855934280783146,322
317,0.017508411407470705,0.00019831528425886416,0.0035613059997558595,2.6184569423203043e-05,1.0,2,0.1,auto,poly,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",-1.4182370934087465,-1.2931273884248662,-1.3342478429340068,-1.4463210095266517,-1.3835422468991856,-1.3750951162386913,0.05548498936576243,704
318,0.019760799407958985,0.001652222157108085,0.005465793609619141,0.00034274729874162233,1.0,2,0.1,auto,rbf,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",-1.3903967269271988,-1.282517527434078,-1.310115126063165,-1.4130896061917961,-1.3551884548915198,-1.3502614883015516,0.048545771004148884,237
319,0.022360610961914062,0.0002237309783496198,0.004605913162231445,7.996099921764492e-05,1.0,2,0.1,auto,sigmoid,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'sigmoid'}",-1.4093893471558583,-1.2924646878936077,-1.3258929398963195,-1.4357135136948675,-1.3646862951672432,-1.3656293567615791,0.05245887298327617,485
320,0.0163424015045166,0.000253486516692721,0.0029230594635009767,6.74924888127877e-05,1.0,2,0.1,0.001,linear,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",-1.4041298091001762,-1.293182482735078,-1.3223623864272567,-1.4229473862097592,-1.3596658037805893,-1.3604575736505717,0.04855934280783146,322
321,0.01640186309814453,0.0007070097942817559,0.003241443634033203,0.00012370617191226517,1.0,2,0.1,0.001,poly,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",-1.4528899612647208,-1.3109708346550069,-1.3679866487163832,-1.4881198877975126,-1.3983520413518455,-1.4036638747570938,0.062368430230352816,1008
322,0.01901135444641113,0.0001731484034520327,0.005394792556762696,0.00013368558128422657,1.0,2,0.1,0.001,rbf,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",-1.4488784896963054,-1.308950812128798,-1.3644136054565388,-1.4833130189291592,-1.3982209001715544,-1.4007553652764713,0.06146027054835616,892
323,0.02088160514831543,0.00036532160563266744,0.004115104675292969,5.34574650079217e-05,1.0,2,0.1,0.001,sigmoid,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-1.4507628531008439,-1.3098534700882112,-1.3660288807570593,-1.4858545441043607,-1.398162204858796,-1.4021323905818541,0.061982168143868165,917
324,0.016119384765625,0.00041736733029581314,0.002862834930419922,7.452868682476059e-05,1.0,2,0.1,0.01,linear,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",-1.4041298091001762,-1.293182482735078,-1.3223623864272567,-1.4229473862097592,-1.3596658037805893,-1.3604575736505717,0.04855934280783146,322
325,0.01655864715576172,0.0004519688119068545,0.0032281875610351562,4.509881374908657e-05,1.0,2,0.1,0.01,poly,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",-1.4523884100593811,-1.310720107280399,-1.3675528935967416,-1.4878146320174237,-1.3983097168791427,-1.4033571519666175,0.06233165130696777,993
326,0.018307209014892578,0.0009886242848506563,0.005280160903930664,0.00010413020900021066,1.0,2,0.1,0.01,rbf,"{'C': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-1.4324061922918907,-1.3012469379414737,-1.3488175781504343,-1.4620325139369332,-1.3956209163250255,-1.3880248277291514,0.057571093920068574,762
