,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
145,44.59721646308899,8.169027296780463,0.011438608169555664,0.002280767133273975,1e-09,1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=0.1) + WhiteKernel(noise_level=0.5),"{'alpha': 1e-09, 'kernel': 1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=0.1) + WhiteKernel(noise_level=0.5)}",-0.7191146389935562,-0.7659934100419022,-0.7031967994007624,-0.6846492469516793,-0.7598650171357262,-0.7265638225047253,0.03169227566685584,153
146,40.00231380462647,6.721059768514546,0.01408696174621582,0.003979390121807389,1e-09,1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=0.1) + WhiteKernel(noise_level=0.25),"{'alpha': 1e-09, 'kernel': 1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=0.1) + WhiteKernel(noise_level=0.25)}",-0.795187293960593,-0.750469335221425,-0.7031971894602165,-0.8321441359083318,-0.7643082386842297,-0.7690612386469592,0.04328589966731361,191
147,60.418523693084715,37.46254373409908,0.014920186996459962,0.00420322351405483,1e-09,1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=0.1) + WhiteKernel(noise_level=0.1),"{'alpha': 1e-09, 'kernel': 1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=0.1) + WhiteKernel(noise_level=0.1)}",-0.719114623420567,-0.765993265922645,-0.7031969684580761,-0.6846480401943753,-0.7765275657688091,-0.7298960927528946,0.0356481970536899,155
148,41.30941367149353,10.01725336061741,0.013497304916381837,0.005448360052048355,1e-09,1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),"{'alpha': 1e-09, 'kernel': 1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1)}",-0.7191146721354295,-0.7095463184438413,-0.6965010115074496,-0.8321380469901196,-0.7765335627362339,-0.7467667223626149,0.050697068735582405,182
149,40.80503849983215,7.375071376229016,0.01519913673400879,0.0049143503740896495,1e-09,1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.5),"{'alpha': 1e-09, 'kernel': 1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.5)}",-0.768656123375715,-0.6765389956430918,-0.6801227731215389,-0.8321377045057918,-0.7643082814385006,-0.7443527756169276,0.05902418256918055,178
150,48.76399221420288,13.329515198081474,0.016312122344970703,0.005035798536169308,1e-09,1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.25),"{'alpha': 1e-09, 'kernel': 1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.25)}",-0.7686519850684369,-0.6797011835210754,-0.703197069248881,-0.6902117163280427,-0.7598650471060872,-0.7203254002545046,0.03674066722527433,148
151,44.613268041610716,9.259440492178296,0.01407780647277832,0.0010930108998980829,1e-09,1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.1),"{'alpha': 1e-09, 'kernel': 1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=0.1)}",-0.7191146330222008,-0.679699053894704,-0.7031971075181791,-0.8321377542522095,-0.7598666340016186,-0.7388030365377823,0.053485962359417306,167
152,48.24906506538391,7.6397702860221655,0.011661243438720704,0.0020567174457517988,1e-09,1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=5) + WhiteKernel(noise_level=1),"{'alpha': 1e-09, 'kernel': 1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=5) + WhiteKernel(noise_level=1)}",-0.7191147429390723,-0.676538852201973,-0.6965008333682967,-0.6902115005169903,-0.759864860128657,-0.7084461578309977,0.029158090851652198,60
153,50.227157783508304,6.410163335882801,0.018015527725219728,0.005213926164315754,1e-09,1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=5) + WhiteKernel(noise_level=0.5),"{'alpha': 1e-09, 'kernel': 1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=5) + WhiteKernel(noise_level=0.5)}",-0.7191150689052558,-0.6797005082846972,-0.7031970163187469,-0.684650087671536,-0.7643082283866668,-0.7101941819133806,0.0304605891564901,91
154,44.53688988685608,6.932075519656498,0.014710807800292968,0.001529080136817669,1e-09,1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=5) + WhiteKernel(noise_level=0.25),"{'alpha': 1e-09, 'kernel': 1**2 * RBF(length_scale=0.01) + 1**2 * RBF(length_scale=5) + WhiteKernel(noise_level=0.25)}",-0.7154458794367097,-0.701796414247366,-0.703196980755508,-0.8321378325026167,-0.7728012136070307,-0.7450756641098463,0.05070181256740298,180
