,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0656369686126709,0.011809837477459593,0.003568220138549805,0.0017703161384189875,0.4,0.01,3,25,0.4,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 25, 'subsample': 0.4}",-1.2523951233754302,-1.3954544635261155,-1.2680978244815897,-1.3610605347430156,-1.3329391012950715,-1.3219894094842446,0.05438976068748153,1024
1,0.051375198364257815,0.014287795289247828,0.003077793121337891,0.00032780945131499463,0.4,0.01,3,25,0.6,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 25, 'subsample': 0.6}",-1.2536957316799675,-1.3933592725380646,-1.2671825271532047,-1.3605945911698039,-1.3305043319665704,-1.3210672909015222,0.05351652188933046,1023
2,0.05124087333679199,0.011055566007412265,0.0032051563262939452,0.0002558906791307557,0.4,0.01,3,25,0.8,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 25, 'subsample': 0.8}",-1.2552400305032885,-1.3908134066805673,-1.2647391446946668,-1.3604940165717065,-1.3287520487820097,-1.3200077294464478,0.052874413058245875,1022
3,0.029944181442260742,0.010062132288319188,0.003914642333984375,0.0021923559264836225,0.4,0.01,3,25,1.0,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 25, 'subsample': 1.0}",-1.2549985884717494,-1.3916483511886062,-1.263375148585811,-1.3586778378084712,-1.328316036377285,-1.3194031924863845,0.05315711472402358,1021
4,0.009897804260253907,0.0005186893061778961,0.0028334617614746093,0.00014168521102464511,0.4,0.01,3,50,0.4,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.4}",-1.2056425181711756,-1.3540294029834907,-1.220300755260028,-1.3147553375835084,-1.2867684982927443,-1.2762993024581895,0.05614028443237848,996
5,0.010006380081176759,0.0006042494955972683,0.002808809280395508,0.0002841651824111992,0.4,0.01,3,50,0.6,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",-1.205210455888529,-1.3495859930435892,-1.2172708823082197,-1.3132278632624292,-1.2812632669203663,-1.2733116922846268,0.05523159961919355,993
6,0.008882665634155273,0.002400760783341033,0.0027126789093017576,0.00033213446613384137,0.4,0.01,3,50,0.8,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-1.2057204896405598,-1.3486538702445736,-1.2136083934964337,-1.3119760808557421,-1.281088354684679,-1.2722094377843978,0.055423523773859944,992
7,0.009506893157958985,0.0002903828438746484,0.002794504165649414,0.00038414443613934187,0.4,0.01,3,50,1.0,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-1.2072315369721787,-1.3477330282278295,-1.211721102654813,-1.3088127870742485,-1.2796216611505993,-1.271024023215934,0.05472202333640161,991
8,0.013849925994873048,0.0009020841654696341,0.002546405792236328,0.0003434775122887875,0.4,0.01,3,100,0.4,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.4}",-1.1348680640476376,-1.2808186525911625,-1.1397441055973128,-1.236869929749633,-1.2118153739965078,-1.2008232251964508,0.056391848314488346,943
9,0.01299595832824707,0.00044077221083101814,0.0021905899047851562,0.0003848998409425111,0.4,0.01,3,100,0.6,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",-1.1293128841474822,-1.2767749614803503,-1.1360750583815473,-1.2355607936799524,-1.203850116408262,-1.1963147628195188,0.056901581343408086,937
10,0.015061187744140624,0.0029214170260964227,0.002318859100341797,0.0004858853888115028,0.4,0.01,3,100,0.8,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-1.1315618784192176,-1.275497634866596,-1.1313753356459648,-1.2317066062692,-1.202673235063941,-1.194562938052984,0.05649364701875513,936
11,0.009926557540893555,0.001091288899370927,0.0024157047271728517,0.00030603932601759083,0.4,0.01,3,100,1.0,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-1.1329716735118016,-1.2726111435454068,-1.130633889094326,-1.2264535981672342,-1.2026570024363248,-1.1930654613510185,0.05485115394871382,932
12,0.023696708679199218,0.0027507783842225593,0.0023787975311279296,0.00040497947437851843,0.4,0.01,3,200,0.4,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.4}",-1.048713578880803,-1.1944106846529485,-1.0418572266486994,-1.1488181472127108,-1.115850043999174,-1.1099299362788673,0.05842203981440678,894
13,0.02414870262145996,0.003030777829033868,0.002575254440307617,0.0003422155872967031,0.4,0.01,3,200,0.6,"{'colsample_bytree': 0.4, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",-1.0417848105710583,-1.1837593932840782,-1.0373652165485918,-1.144860615695478,-1.1090877809256838,-1.103371563404978,0.0572118619611893,888
