,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03781833648681641,0.0036339373887468757,0.002317047119140625,0.0003047532867422778,,1,2,25,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",-0.657292064446889,-0.6264347025843762,-0.7185864510191429,-0.7113613955327326,-0.7052150243220227,-0.6837779275810326,0.03583790318599638,16
1,0.0795020580291748,0.02018473327531114,0.0033147335052490234,0.0004169347245322735,,1,2,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.6668412308526448,-0.6190956167906869,-0.7032279585298628,-0.7070160714715692,-0.6896485343052258,-0.677165882389998,0.0322640244727923,10
2,0.13564615249633788,0.01007237208252239,0.005425214767456055,0.0007426699627548271,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.6491409344473802,-0.6283986289502129,-0.7021096043625389,-0.7041169907766697,-0.709143041778988,-0.6785818400631578,0.03324066264769155,12
3,0.33192138671875,0.06599957339112424,0.0100921630859375,0.0015228894767184897,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.650895901320021,-0.6278784865487733,-0.6900985846993078,-0.7059041546707846,-0.6947971795520541,-0.6739148613581881,0.029565247598499014,6
4,0.03205575942993164,0.0004366261605193483,0.002116489410400391,5.8662870797020146e-05,,1,5,25,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 25}",-0.6730322408650075,-0.6490011513245841,-0.7373741856239011,-0.7259814401409912,-0.7355816963475499,-0.7041941428604067,0.03627150541439493,32
5,0.06156935691833496,0.003910928455175872,0.002924346923828125,0.0001389308737760043,,1,5,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-0.6798149107708475,-0.6354606617880773,-0.7255520072242461,-0.7265532123239988,-0.7344542141785598,-0.7003670012571459,0.037728401998975314,30
6,0.11387600898742675,0.016818097577667973,0.004405593872070313,0.000632028282628473,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.678916423986046,-0.6410101522822468,-0.7195946642057451,-0.7210445787475752,-0.7235014685415813,-0.6968134575526388,0.03241201391788377,25
7,0.2394476890563965,0.0033892133651631977,0.0078007221221923825,0.00013241524912191988,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.6706038065482041,-0.6449838239709961,-0.7265701814054406,-0.7253011207984321,-0.7236997521239096,-0.6982317369693966,0.034009062168464436,26
8,0.026611185073852538,0.003434876412241557,0.0017865657806396484,0.00018882755077246117,,1,10,25,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 25}",-0.7084897161956117,-0.6929131175219878,-0.8065331339523236,-0.7641370023502183,-0.7764707240421105,-0.7497087388124504,0.04261018880131225,95
9,0.05203409194946289,0.007280165423805398,0.00253143310546875,0.00023396012130211534,,1,10,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-0.7045591227526381,-0.6927166113654336,-0.7838199683396796,-0.7561461400050128,-0.7712663772789627,-0.7417016439483455,0.03643012618890511,84
10,0.1039879322052002,0.01608526850763042,0.003968191146850586,0.0004913262467111662,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.7032374513824307,-0.6931007611988896,-0.7859423195609964,-0.7436946519421331,-0.7771051062947876,-0.7406160580758474,0.037550664537353645,83
11,0.2270069122314453,0.03776274791817002,0.007657003402709961,0.001557779292429171,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.703585752731741,-0.6883409884493207,-0.7807880907504435,-0.7525460803278217,-0.7687168921313366,-0.7387955608781327,0.03642287710452623,79
12,0.026082944869995118,0.0022242345454516568,0.001857900619506836,7.099777032195505e-05,,1,20,25,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 25}",-0.7371363693138134,-0.7331718302570359,-0.8365463372326437,-0.7852951125682018,-0.8353305117732358,-0.7854960322289861,0.04509130397403331,194
13,0.05227727890014648,0.00011026135240445274,0.002569580078125,0.00010810074007604072,,1,20,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 50}",-0.7201098639445618,-0.7153509638821182,-0.8148249639229016,-0.7834614723062197,-0.8313456107128048,-0.7730185749537212,0.04771531500798263,165
14,0.1049726963043213,0.024911726523043215,0.004261159896850586,0.001017554737959376,,1,20,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 100}",-0.7351777486285456,-0.7143298405779368,-0.8446999705521083,-0.7882957639814084,-0.8230241189837254,-0.7811054885447449,0.049842701041811356,189
15,0.20530600547790528,0.0026345569660475737,0.007042598724365234,0.0004473711630530099,,1,20,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200}",-0.7331576155669219,-0.7183958502770499,-0.8301692797665091,-0.7892181261312972,-0.8282262082449906,-0.7798334159973538,0.04672652166525175,187
